horizon_min,model_id,algo,automl_rank,tau,base_side,n,coverage,wins,win_rate,base_wins,selected_baseline_win_rate,directional_edge,n_long,long_win_rate,n_short,short_win_rate,tie_rate,mean_confidence
2,GBM_grid_1_AutoML_2_20260923_180332_model_3,GBM,2,0,1,4026,1,1813,0.450322901142573,1822,0.452558370591158,-0.00223546944858422,2621,0.452880579931324,1405,0.445551601423488,0.10655737704918,0.0341919760540273
2,GBM_grid_1_AutoML_2_20260923_180332_model_3,GBM,2,0.025,1,2128,0.52856433184302,947,0.445018796992481,963,0.452537593984962,-0.0075187969924812,1525,0.450491803278689,603,0.431177446102819,0.102443609022556,0.054090005400869
2,GBM_grid_1_AutoML_2_20260923_180332_model_3,GBM,2,0.05,1,995,0.247143566815698,450,0.452261306532663,456,0.458291457286432,-0.00603015075376884,748,0.462566844919786,247,0.421052631578947,0.107537688442211,0.0743093163557882
2,GBM_grid_1_AutoML_2_20260923_180332_model_3,GBM,2,0.075,1,366,0.0909090909090909,168,0.459016393442623,176,0.480874316939891,-0.0218579234972677,251,0.478087649402391,115,0.417391304347826,0.092896174863388,0.0964647902647498
2,DeepLearning_grid_3_AutoML_2_20260923_180332_model_1,DeepLearning,3,0,1,4026,1,1819,0.451813214108296,1822,0.452558370591158,-0.000745156482861442,2792,0.451289398280802,1234,0.452998379254457,0.10655737704918,0.0161830196395151
2,DeepLearning_grid_3_AutoML_2_20260923_180332_model_1,DeepLearning,3,0.025,1,697,0.173124689518132,320,0.459110473457676,324,0.464849354375897,-0.00573888091822095,78,0.525641025641026,619,0.450726978998385,0.084648493543759,0.0568706773003395
2,DeepLearning_grid_3_AutoML_2_20260923_180332_model_1,DeepLearning,3,0.05,1,291,0.0722801788375559,122,0.419243986254296,152,0.52233676975945,-0.103092783505155,26,0.461538461538462,265,0.415094339622642,0.0515463917525773,0.085965049086282
2,DeepLearning_grid_3_AutoML_2_20260923_180332_model_1,DeepLearning,3,0.075,1,143,0.0355191256830601,62,0.433566433566434,73,0.510489510489511,-0.076923076923077,14,0.357142857142857,129,0.441860465116279,0.027972027972028,0.112129818955557
2,DeepLearning_grid_2_AutoML_2_20260923_180332_model_3,DeepLearning,4,0,1,4026,1,1797,0.446348733233979,1822,0.452558370591158,-0.00620963735717839,1221,0.466011466011466,2805,0.437789661319073,0.10655737704918,0.0238172744375567
2,DeepLearning_grid_2_AutoML_2_20260923_180332_model_3,DeepLearning,4,0.025,1,1273,0.316194734227521,584,0.458758837391987,588,0.461901021209741,-0.00314218381775333,391,0.465473145780051,882,0.45578231292517,0.0793401413982718,0.050451163899039
2,DeepLearning_grid_2_AutoML_2_20260923_180332_model_3,DeepLearning,4,0.05,1,439,0.109041231992052,207,0.471526195899772,212,0.482915717539863,-0.0113895216400912,176,0.5,263,0.452471482889734,0.0660592255125285,0.0809962997900731
