signal_et,signal_date,source_period,p_up,confidence,signal,outcome,correct_direction
2025-02-25T05:00:00Z,2025-02-25,2025 calibration,0.589100897312164,0.0891008973121643,BUY,1,1
2025-02-25T06:15:00Z,2025-02-25,2025 calibration,0.435370534658432,0.064629465341568,SELL,-1,1
2025-02-25T06:30:00Z,2025-02-25,2025 calibration,0.571993350982666,0.071993350982666,BUY,-1,0
2025-02-25T07:30:00Z,2025-02-25,2025 calibration,0.575005352497101,0.0750053524971008,BUY,-1,0
2025-02-25T08:00:00Z,2025-02-25,2025 calibration,0.568782806396484,0.0687828063964844,BUY,1,1
2025-02-25T09:45:00Z,2025-02-25,2025 calibration,0.590109467506409,0.0901094675064087,BUY,-1,0
2025-02-25T10:00:00Z,2025-02-25,2025 calibration,0.573214769363403,0.0732147693634033,BUY,1,1
2025-02-26T01:30:00Z,2025-02-25,2025 calibration,0.567303359508514,0.0673033595085144,BUY,-1,0
2025-02-26T05:00:00Z,2025-02-26,2025 calibration,0.437622666358948,0.0623773336410523,SELL,1,0
2025-02-26T08:15:00Z,2025-02-26,2025 calibration,0.565953552722931,0.0659535527229309,BUY,1,1
2025-02-26T14:15:00Z,2025-02-26,2025 calibration,0.561484813690186,0.0614848136901856,BUY,1,1
2025-02-27T01:00:00Z,2025-02-26,2025 calibration,0.583458602428436,0.0834586024284363,BUY,-1,0
2025-02-27T04:00:00Z,2025-02-26,2025 calibration,0.591258049011231,0.0912580490112305,BUY,-1,0
2025-02-27T05:15:00Z,2025-02-27,2025 calibration,0.417362362146378,0.0826376378536224,SELL,1,0
2025-02-27T05:45:00Z,2025-02-27,2025 calibration,0.427372336387634,0.0726276636123657,SELL,-1,1
2025-02-27T08:00:00Z,2025-02-27,2025 calibration,0.570475339889526,0.0704753398895264,BUY,-1,0
2025-02-28T01:00:00Z,2025-02-27,2025 calibration,0.580000936985016,0.0800009369850159,BUY,1,1
2025-02-28T01:30:00Z,2025-02-27,2025 calibration,0.573471128940582,0.0734711289405823,BUY,-1,0
2025-02-28T02:45:00Z,2025-02-27,2025 calibration,0.567234516143799,0.0672345161437988,BUY,1,1
2025-02-28T12:15:00Z,2025-02-28,2025 calibration,0.563113570213318,0.0631135702133179,BUY,1,1
2025-03-03T06:45:00Z,2025-03-03,2025 calibration,0.43377947807312,0.0662205219268799,SELL,1,0
2025-03-04T02:00:00Z,2025-03-03,2025 calibration,0.570179879665375,0.0701798796653748,BUY,1,1
2025-03-04T03:15:00Z,2025-03-03,2025 calibration,0.57192462682724,0.07192462682724,BUY,1,1
2025-03-04T06:15:00Z,2025-03-04,2025 calibration,0.570784866809845,0.070784866809845,BUY,1,1
2025-03-04T10:30:00Z,2025-03-04,2025 calibration,0.578262388706207,0.0782623887062073,BUY,-1,0
2025-03-04T12:15:00Z,2025-03-04,2025 calibration,0.566001832485199,0.066001832485199,BUY,-1,0
2025-03-05T02:15:00Z,2025-03-04,2025 calibration,0.56143069267273,0.0614306926727295,BUY,1,1
2025-03-05T05:30:00Z,2025-03-05,2025 calibration,0.567436277866364,0.0674362778663635,BUY,1,1
2025-03-05T09:45:00Z,2025-03-05,2025 calibration,0.435125648975372,0.0648743510246277,SELL,1,0
2025-03-05T10:30:00Z,2025-03-05,2025 calibration,0.574324548244476,0.0743245482444763,BUY,1,1
2025-03-06T05:15:00Z,2025-03-06,2025 calibration,0.433745741844177,0.0662542581558228,SELL,-1,1
2025-03-07T03:15:00Z,2025-03-06,2025 calibration,0.580296576023102,0.0802965760231018,BUY,-1,0
2025-03-07T12:45:00Z,2025-03-07,2025 calibration,0.566355288028717,0.066355288028717,BUY,1,1
2025-03-10T03:30:00Z,2025-03-09,2025 calibration,0.570692479610443,0.0706924796104431,BUY,1,1
2025-03-10T04:45:00Z,2025-03-10,2025 calibration,0.564244627952576,0.0642446279525757,BUY,-1,0
2025-03-10T05:00:00Z,2025-03-10,2025 calibration,0.574702739715576,0.0747027397155762,BUY,1,1
2025-03-10T05:45:00Z,2025-03-10,2025 calibration,0.564682483673096,0.0646824836730957,BUY,-1,0
2025-03-10T08:45:00Z,2025-03-10,2025 calibration,0.561920344829559,0.0619203448295593,BUY,1,1
2025-03-10T09:00:00Z,2025-03-10,2025 calibration,0.561417043209076,0.0614170432090759,BUY,1,1
2025-03-11T00:45:00Z,2025-03-10,2025 calibration,0.562513649463654,0.0625136494636536,BUY,-1,0
2025-03-11T12:15:00Z,2025-03-11,2025 calibration,0.56587541103363,0.0658754110336304,BUY,1,1
2025-03-12T03:00:00Z,2025-03-11,2025 calibration,0.579248428344727,0.0792484283447266,BUY,1,1
2025-03-12T07:15:00Z,2025-03-12,2025 calibration,0.565491199493408,0.0654911994934082,BUY,1,1
2025-03-13T01:00:00Z,2025-03-12,2025 calibration,0.563189029693604,0.0631890296936035,BUY,-1,0
2025-03-13T03:00:00Z,2025-03-12,2025 calibration,0.565415382385254,0.0654153823852539,BUY,-1,0
2025-03-13T03:30:00Z,2025-03-12,2025 calibration,0.585456490516663,0.0854564905166626,BUY,-1,0
2025-03-13T07:45:00Z,2025-03-13,2025 calibration,0.573834180831909,0.0738341808319092,BUY,1,1
2025-03-14T04:30:00Z,2025-03-14,2025 calibration,0.569965898990631,0.0699658989906311,BUY,-1,0
2025-03-14T05:45:00Z,2025-03-14,2025 calibration,0.569123566150665,0.0691235661506653,BUY,-1,0
2025-03-14T12:30:00Z,2025-03-14,2025 calibration,0.43897420167923,0.0610257983207703,SELL,-1,1
2025-03-14T13:15:00Z,2025-03-14,2025 calibration,0.561208844184876,0.0612088441848755,BUY,-1,0
2025-03-17T23:15:00Z,2025-03-17,2025 calibration,0.576503574848175,0.0765035748481751,BUY,1,1
2025-03-18T01:45:00Z,2025-03-17,2025 calibration,0.567994952201843,0.0679949522018433,BUY,-1,0
2025-03-18T06:30:00Z,2025-03-18,2025 calibration,0.428970962762833,0.0710290372371674,SELL,-1,1
2025-03-18T10:00:00Z,2025-03-18,2025 calibration,0.574804425239563,0.074804425239563,BUY,-1,0
2025-03-18T13:00:00Z,2025-03-18,2025 calibration,0.564180850982666,0.064180850982666,BUY,-1,0
2025-03-18T16:15:00Z,2025-03-18,2025 calibration,0.438494652509689,0.0615053474903107,SELL,-1,1
2025-03-19T06:15:00Z,2025-03-19,2025 calibration,0.567768514156342,0.0677685141563416,BUY,1,1
2025-03-20T04:45:00Z,2025-03-20,2025 calibration,0.572324633598328,0.0723246335983276,BUY,1,1
2025-03-20T06:30:00Z,2025-03-20,2025 calibration,0.568307101726532,0.068307101726532,BUY,-1,0
2025-03-20T09:30:00Z,2025-03-20,2025 calibration,0.570890724658966,0.0708907246589661,BUY,-1,0
2025-03-20T09:45:00Z,2025-03-20,2025 calibration,0.566215038299561,0.0662150382995606,BUY,-1,0
2025-03-20T23:15:00Z,2025-03-20,2025 calibration,0.564760029315949,0.0647600293159485,BUY,-1,0
