candidate_id,fold,full_year,horizon,feature_set,model_id,xgb_depth,target_coverage,confidence_cutoff,base_side,selected_n,coverage,wins,win_rate,base_wins,baseline_wr,edge,flat_rate,active_weeks,unique_days,top_day_share,top5_day_share,nonoverlap_n,nonoverlap_fraction,long_n,long_wins,long_wr,short_n,short_wins,short_wr,up_only_wr,down_only_wr
1__NQ_ONLY__xgb_d2__0.0050,2023,TRUE,1,NQ_ONLY,xgb_d2,2,0.005,0.112431120872498,1,129,0.00602128454070202,71,0.550387596899225,62,0.48062015503876,0.0697674418604651,0.0465116279069768,48,99,0.0232558139534884,0.0930232558139535,129,1,53,31,0.584905660377359,76,40,0.526315789473684,0.48062015503876,0.472868217054264
1__NQ_ONLY__xgb_d3__0.5000,2023,TRUE,1,NQ_ONLY,xgb_d3,3,0.5,0.0313706398010254,1,11157,0.520771097834205,5929,0.531415254996863,5382,0.482387738639419,0.0490275163574438,0.0391682351886708,52,310,0.00501927041319351,0.0247378327507394,11157,1,6542,3442,0.52613879547539,4615,2487,0.538894907908992,0.482387738639419,0.47844402617191
1__NQ_ONLY__xgb_d3__0.2000,2023,TRUE,1,NQ_ONLY,xgb_d3,3,0.2,0.0602934122085571,1,4703,0.219520164301718,2567,0.545821815862216,2214,0.47076334254731,0.0750584733149054,0.042738677439932,52,310,0.00637890708058686,0.0301934935147778,4703,1,2780,1469,0.52841726618705,1923,1098,0.570982839313573,0.47076334254731,0.486497980012758
1__NQ_ONLY__xgb_d3__0.1000,2023,TRUE,1,NQ_ONLY,xgb_d3,3,0.1,0.0767382502555847,1,2362,0.110250186706497,1298,0.549534292972058,1095,0.463590177815411,0.0859441151566469,0.0385266723116003,52,305,0.00762066045723963,0.0355630821337849,2362,1,1405,737,0.524555160142349,957,561,0.586206896551724,0.463590177815411,0.497883149872989
1__NQ_ONLY__xgb_d3__0.0500,2023,TRUE,1,NQ_ONLY,xgb_d3,3,0.05,0.0898249626159668,1,1209,0.0564320388349515,681,0.563275434243176,556,0.459884201819686,0.103391232423491,0.0372208436724566,52,286,0.0115798180314309,0.0488006617038875,1209,1,700,372,0.531428571428572,509,309,0.607072691552063,0.459884201819686,0.502894954507858
1__NQ_ONLY__xgb_d3__0.0200,2023,TRUE,1,NQ_ONLY,xgb_d3,3,0.02,0.106244511604309,1,480,0.0224047796863331,269,0.560416666666667,208,0.433333333333333,0.127083333333333,0.0333333333333333,52,219,0.01875,0.0770833333333333,480,1,249,128,0.514056224899598,231,141,0.61038961038961,0.433333333333333,0.533333333333333
1__NQ_ONLY__xgb_d3__0.0100,2023,TRUE,1,NQ_ONLY,xgb_d3,3,0.01,0.119601032733917,1,206,0.00961538461538462,119,0.577669902912621,95,0.461165048543689,0.116504854368932,0.0485436893203884,52,139,0.0242718446601942,0.101941747572816,206,1,92,54,0.586956521739131,114,65,0.570175438596491,0.461165048543689,0.490291262135922
1__NQ_ONLY__xgb_d3__0.0050,2023,TRUE,1,NQ_ONLY,xgb_d3,3,0.005,0.133268694281579,1,95,0.00443427931292009,56,0.589473684210526,50,0.526315789473684,0.0631578947368421,0.0315789473684211,48,83,0.0315789473684211,0.126315789473684,95,1,44,29,0.659090909090909,51,27,0.529411764705882,0.526315789473684,0.442105263157895
1__NQ_ONLY__xgb_d4__0.5000,2023,TRUE,1,NQ_ONLY,xgb_d4,4,0.5,0.0323384404182434,1,11215,0.523478342046303,5962,0.531609451627285,5407,0.482122157824342,0.0494872938029425,0.0400356665180562,52,310,0.0050824788230049,0.0248773963441819,11215,1,6650,3498,0.526015037593985,4565,2464,0.539759036144578,0.482122157824342,0.477842175657601
1__NQ_ONLY__xgb_d4__0.2000,2023,TRUE,1,NQ_ONLY,xgb_d4,4,0.2,0.0631876826286316,1,4699,0.219333457804332,2583,0.549691423707172,2203,0.468823153862524,0.0808682698446478,0.041285379868057,52,310,0.00617152585656523,0.0295807618642264,4699,1,2773,1468,0.529390551749008,1926,1115,0.578920041536864,0.468823153862524,0.489891466269419
