horizon_min,model,tau,n,wins,base_wins_selected,full_n,full_model_wins,full_base_wins,n_long,long_wins,n_short,short_wins,win_rate,selected_baseline_win_rate,full_model_win_rate,full_baseline_win_rate,selected_directional_edge,selection_gain_vs_full_baseline,coverage,long_win_rate,short_win_rate
10,Market-state,0,156394,80097,79761,156394,80097,79761,124930,64197,31464,15900,0.512148803662545,0.510000383646431,0.512148803662545,0.510000383646431,0.00214842001611315,0.00214842001611315,1,0.513863763707676,0.505339435545385
10,Market-state,0.025,20486,10648,10650,156394,80097,79761,15312,8062,5174,2586,0.519769598750366,0.519867226398516,0.512148803662545,0.510000383646431,-9.76276481499116e-05,0.00976921510393469,0.130989679910994,0.526515151515152,0.499806725937379
10,Market-state,0.05,4593,2322,2360,156394,80097,79761,3235,1662,1358,660,0.505551926845199,0.513825386457653,0.512148803662545,0.510000383646431,-0.00827345961245374,-0.00444845680123218,0.0293681343274039,0.513755795981453,0.4860088365243
10,Market-state,0.075,1479,737,732,156394,80097,79761,1012,501,467,236,0.498309668695064,0.494929006085193,0.512148803662545,0.510000383646431,0.00338066260987152,-0.0116907149513672,0.00945688453521235,0.495059288537549,0.505353319057816
10,Market-state,0.1,599,306,299,152614,78174,77860,388,197,211,109,0.510851419031719,0.499165275459099,0.512233477924699,0.510175999580641,0.011686143572621,0.000675419451078185,0.00392493480283591,0.507731958762887,0.516587677725119
10,Market-state,0.15,133,66,72,96762,49464,49190,79,42,54,24,0.496240601503759,0.541353383458647,0.511192410243691,0.508360720117401,-0.0451127819548872,-0.012120118613642,0.001374506521155,0.531645569620253,0.444444444444444
10,Full,0,156394,79900,79761,156394,79900,79761,107321,55294,49073,24606,0.510889164545954,0.510000383646431,0.510889164545954,0.510000383646431,0.000888780899523045,0.000888780899523045,1,0.515220693061004,0.501416257412426
10,Full,0.025,27927,14530,14501,156394,79900,79761,19150,10127,8777,4403,0.520285028825151,0.519246607225982,0.510889164545954,0.510000383646431,0.00103842159916923,0.0102846451787199,0.178568231517833,0.528825065274151,0.501652045117922
10,Full,0.05,6265,3169,3169,156394,79900,79761,3745,1909,2520,1260,0.505826017557861,0.505826017557861,0.510889164545954,0.510000383646431,0,-0.00417436608857025,0.0400590815504431,0.509746328437917,0.5
10,Full,0.075,2091,1033,1046,156394,79900,79761,1288,638,803,395,0.49402199904352,0.500239120038259,0.510889164545954,0.510000383646431,-0.00621712099473937,-0.0159783846029116,0.0133700781359899,0.495341614906832,0.491905354919054
10,Full,0.1,915,470,454,152614,77970,77860,553,281,362,189,0.513661202185792,0.496174863387978,0.510896772248942,0.510175999580641,0.0174863387978143,0.00348520260515106,0.00599551810449893,0.508137432188065,0.522099447513812
